Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,5.2230,0.0092,0.0001,0.0000,0.00,0.00,804.0,0.05,0.4,0.0,0.0,80.4,8.04,0.01
00:00:10,5.2220,0.0090,0.0003,0.0001,0.01,0.00,806.0,0.05,0.4,0.0,0.0,80.6,8.06,0.01
00:00:20,5.1580,0.1340,0.0022,0.0004,0.07,0.04,807.0,0.69,5.8,0.02,0.2,80.7,8.07,0.07
00:00:30,4.7790,1.6471,0.0240,0.0050,0.78,0.45,805.0,7.87,65.6,0.27,2.7,80.5,8.05,0.79
00:00:40,5.2230,0.0091,0.0242,0.0050,0.78,0.45,801.0,0.05,0.4,0.0,0.0,80.1,8.01,0.01
00:00:50,5.1610,0.2621,0.0279,0.0058,0.90,0.52,799.0,1.35,11.3,0.05,0.5,79.9,7.99,0.14
00:01:00,5.2220,0.0091,0.0281,0.0058,0.91,0.52,797.0,0.05,0.4,0.0,0.0,79.7,7.97,0.01
00:01:10,5.1870,0.1487,0.0302,0.0062,0.98,0.56,798.0,0.77,6.4,0.03,0.3,79.8,7.98,0.08
00:01:20,5.2090,0.1279,0.0321,0.0065,1.04,0.59,797.0,0.67,5.6,0.02,0.2,79.7,7.97,0.07
00:01:30,5.2080,0.0389,0.0326,0.0067,1.06,0.60,798.0,0.2,1.7,0.01,0.1,79.8,7.98,0.02
00:01:40,4.7920,1.4711,0.0522,0.0107,1.69,0.96,792.0,7.05,58.8,0.24,2.4,79.2,7.92,0.72
00:01:50,5.2230,0.0092,0.0523,0.0108,1.69,0.97,789.0,0.05,0.4,0.0,0.0,78.9,7.89,0.01
00:02:00,5.1260,0.0091,0.0525,0.0108,1.70,0.97,787.0,0.05,0.4,0.0,0.0,78.7,7.87,0.01
00:02:10,5.1070,0.0092,0.0526,0.0108,1.70,0.97,784.0,0.05,0.4,0.0,0.0,78.4,7.84,0.01
00:02:20,5.1160,0.0091,0.0527,0.0108,1.71,0.97,789.0,0.05,0.4,0.0,0.0,78.9,7.89,0.01
00:02:30,4.8220,1.3324,0.0706,0.0145,2.28,1.31,782.0,6.42,53.5,0.22,2.2,78.2,7.82,0.66
00:02:40,5.0650,0.6157,0.0792,0.0163,2.57,1.46,781.0,3.12,26.0,0.11,1.1,78.1,7.81,0.32
00:02:50,5.2230,0.0092,0.0794,0.0163,2.57,1.46,780.0,0.05,0.4,0.0,0.0,78.0,7.8,0.01
00:03:00,5.1580,0.0091,0.0795,0.0163,2.57,1.46,776.0,0.05,0.4,0.0,0.0,77.6,7.76,0.01
00:03:10,4.8800,1.2835,0.0969,0.0199,3.14,1.78,781.0,6.26,52.2,0.22,2.2,78.1,7.81,0.65
00:03:20,5.2230,0.0091,0.0970,0.0199,3.14,1.79,781.0,0.05,0.4,0.0,0.0,78.1,7.81,0.01
00:03:30,5.2230,0.0091,0.0972,0.0199,3.15,1.79,780.0,0.05,0.4,0.0,0.0,78.0,7.8,0.01
00:03:40,5.2230,0.0092,0.0973,0.0199,3.15,1.79,778.0,0.05,0.4,0.0,0.0,77.8,7.78,0.01
00:03:50,5.0740,0.1479,0.0994,0.0204,3.22,1.83,776.0,0.75,6.3,0.03,0.3,77.6,7.76,0.08
00:04:00,5.2230,0.0092,0.0995,0.0204,3.22,1.83,777.0,0.05,0.4,0.0,0.0,77.7,7.77,0.01
00:04:10,5.2100,0.0363,0.1000,0.0205,3.24,1.84,776.0,0.19,1.6,0.01,0.1,77.6,7.76,0.02
00:04:20,4.8700,1.2754,0.1173,0.0240,3.80,2.16,776.0,6.21,51.7,0.22,2.2,77.6,7.76,0.65
00:04:30,4.8880,0.8616,0.1290,0.0264,4.18,2.37,772.0,4.21,35.1,0.15,1.5,77.2,7.72,0.44
00:04:40,3.1070,0.9194,0.1369,0.0290,4.43,2.60,770.0,2.86,23.8,0.1,1.0,77.0,7.7,0.3
00:04:50,2.9030,0.8802,0.1440,0.0314,4.66,2.82,765.0,2.56,21.3,0.09,0.9,76.5,7.65,0.27
00:05:00,2.8140,0.8409,0.1506,0.0338,4.88,3.03,763.0,2.37,19.8,0.08,0.8,76.3,7.63,0.25
00:05:10,2.7770,0.8350,0.1570,0.0361,5.08,3.24,766.0,2.32,19.3,0.08,0.8,76.6,7.66,0.24
00:05:20,2.7880,0.8358,0.1635,0.0384,5.29,3.45,766.0,2.33,19.4,0.08,0.8,76.6,7.66,0.25
00:05:30,2.8970,0.8879,0.1707,0.0409,5.52,3.67,766.0,2.57,21.4,0.09,0.9,76.6,7.66,0.27
00:05:40,5.2200,0.0092,0.1708,0.0409,5.53,3.67,766.0,0.05,0.4,0.0,0.0,76.6,7.66,0.01
00:05:50,5.1100,0.1108,0.1724,0.0412,5.58,3.70,767.0,0.57,4.7,0.02,0.2,76.7,7.67,0.06
00:06:00,4.7770,1.3301,0.1900,0.0449,6.15,4.03,767.0,6.35,52.9,0.22,2.2,76.7,7.67,0.67
00:06:10,5.1060,0.0092,0.1901,0.0449,6.16,4.03,767.0,0.05,0.4,0.0,0.0,76.7,7.67,0.01
00:06:20,3.3060,1.0328,0.1996,0.0478,6.46,4.29,767.0,3.41,28.4,0.12,1.2,76.7,7.67,0.36
00:06:30,5.2090,0.0621,0.2005,0.0480,6.49,4.30,772.0,0.32,2.7,0.01,0.1,77.2,7.72,0.03
00:06:40,4.9200,1.1441,0.2162,0.0511,7.00,4.59,770.0,5.63,46.9,0.2,2.0,77.0,7.7,0.59
00:06:50,5.2210,0.0092,0.2163,0.0512,7.00,4.59,771.0,0.05,0.4,0.0,0.0,77.1,7.71,0.01
00:07:00,5.1680,0.0092,0.2164,0.0512,7.01,4.59,770.0,0.05,0.4,0.0,0.0,77.0,7.7,0.01
00:07:10,3.5410,1.0525,0.2268,0.0541,7.34,4.86,768.0,3.73,31.1,0.13,1.3,76.8,7.68,0.39
00:07:20,5.2230,0.0092,0.2269,0.0541,7.35,4.86,769.0,0.05,0.4,0.0,0.0,76.9,7.69,0.01
00:07:30,4.9630,0.9649,0.2402,0.0568,7.78,5.10,768.0,4.79,39.9,0.17,1.7,76.8,7.68,0.5
00:07:40,5.2230,0.0091,0.2404,0.0568,7.78,5.10,768.0,0.05,0.4,0.0,0.0,76.8,7.68,0.01
