Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,4.6030,0.0090,0.0001,0.0000,0.00,0.00,409.0,0.04,0.3,0.0,0.0,40.9,4.09,0.01
00:00:10,5.2200,0.0091,0.0002,0.0001,0.01,0.00,405.0,0.05,0.4,0.0,0.0,40.5,4.05,0.01
00:00:20,4.7450,0.4845,0.0066,0.0014,0.14,0.10,643.0,2.3,19.2,0.08,0.8,64.3,6.43,0.29
00:00:30,3.7760,0.0066,0.0067,0.0014,0.14,0.10,642.0,0.02,0.2,0.0,0.0,64.2,6.42,0.0
00:00:40,3.5560,0.8055,0.0147,0.0037,0.30,0.25,451.0,2.86,23.8,0.1,1.0,45.1,4.51,0.51
00:00:50,5.2080,0.0092,0.0148,0.0037,0.30,0.26,626.0,0.05,0.4,0.0,0.0,62.6,6.26,0.01
00:01:00,4.7090,0.1102,0.0162,0.0040,0.33,0.28,445.0,0.52,4.3,0.02,0.2,44.5,4.45,0.09
00:01:10,4.6030,0.0091,0.0163,0.0040,0.34,0.28,195.5,0.04,0.3,0.0,0.0,19.6,1.955,0.02
00:01:20,4.6030,0.0087,0.0165,0.0040,0.34,0.28,138.8,0.04,0.3,0.0,0.0,13.9,1.388,0.02
00:01:30,4.6080,0.0091,0.0166,0.0041,0.34,0.28,195.2,0.04,0.3,0.0,0.0,19.5,1.952,0.02
00:01:40,4.8170,0.0090,0.0167,0.0041,0.34,0.28,242.0,0.04,0.3,0.0,0.0,24.2,2.42,0.01
00:01:50,5.2130,0.0091,0.0168,0.0041,0.34,0.29,623.0,0.05,0.4,0.0,0.0,62.3,6.23,0.01
00:02:00,4.8320,0.4466,0.0228,0.0053,0.47,0.37,652.0,2.16,18.0,0.08,0.8,65.2,6.52,0.27
00:02:10,4.9310,0.0092,0.0230,0.0054,0.47,0.37,639.0,0.05,0.4,0.0,0.0,63.9,6.39,0.01
00:02:20,4.6180,0.0089,0.0231,0.0054,0.47,0.37,231.0,0.04,0.3,0.0,0.0,23.1,2.31,0.01
00:02:30,4.6030,0.0091,0.0232,0.0054,0.48,0.38,224.0,0.04,0.3,0.0,0.0,22.4,2.24,0.01
00:02:40,4.4700,0.6566,0.0313,0.0072,0.64,0.50,348.0,2.94,24.5,0.1,1.0,34.8,3.48,0.68
00:02:50,4.8470,0.2806,0.0351,0.0080,0.72,0.56,622.0,1.36,11.3,0.05,0.5,62.2,6.22,0.18
00:03:00,4.9750,0.0091,0.0352,0.0081,0.72,0.56,348.0,0.05,0.4,0.0,0.0,34.8,3.48,0.01
00:03:10,4.7740,0.0090,0.0354,0.0081,0.72,0.56,401.0,0.04,0.3,0.0,0.0,40.1,4.01,0.01
00:03:20,4.6360,0.0090,0.0355,0.0081,0.73,0.56,154.5,0.04,0.3,0.0,0.0,15.5,1.545,0.02
00:03:30,4.6000,0.0162,0.0357,0.0081,0.73,0.57,131.8,0.07,0.6,0.0,0.0,13.2,1.318,0.04
00:03:40,3.5410,0.2132,0.0378,0.0087,0.77,0.61,126.2,0.75,6.3,0.03,0.3,12.6,1.262,0.48
00:03:50,4.6060,0.0091,0.0379,0.0088,0.78,0.61,204.0,0.04,0.3,0.0,0.0,20.4,2.04,0.02
00:04:00,3.4190,0.2693,0.0405,0.0095,0.83,0.66,141.5,0.92,7.7,0.03,0.3,14.2,1.415,0.52
00:04:10,4.6480,0.0090,0.0406,0.0095,0.83,0.66,182.2,0.04,0.3,0.0,0.0,18.2,1.822,0.02
00:04:20,5.2210,0.0091,0.0407,0.0096,0.83,0.66,155.7,0.05,0.4,0.0,0.0,15.6,1.557,0.03
00:04:30,3.4500,0.2058,0.0427,0.0101,0.87,0.70,130.6,0.71,5.9,0.02,0.2,13.1,1.306,0.44
00:04:40,5.0440,0.0082,0.0428,0.0102,0.88,0.71,126.9,0.04,0.3,0.0,0.0,12.7,1.269,0.03
00:04:50,3.9220,0.1973,0.0449,0.0107,0.92,0.74,130.8,0.77,6.4,0.03,0.3,13.1,1.308,0.47
00:05:00,4.6780,0.0090,0.0451,0.0107,0.92,0.75,135.5,0.04,0.3,0.0,0.0,13.6,1.355,0.02
00:05:10,4.0060,0.1868,0.0471,0.0113,0.97,0.78,140.7,0.75,6.3,0.03,0.3,14.1,1.407,0.43
00:05:20,3.4280,0.2408,0.0494,0.0119,1.01,0.83,143.3,0.83,6.9,0.03,0.3,14.3,1.433,0.47
00:05:30,5.2210,0.0091,0.0496,0.0119,1.02,0.83,150.7,0.05,0.4,0.0,0.0,15.1,1.507,0.03
00:05:40,4.6030,0.0091,0.0497,0.0120,1.02,0.83,163.7,0.04,0.3,0.0,0.0,16.4,1.637,0.02
00:05:50,3.8420,0.3293,0.0532,0.0129,1.09,0.89,200.0,1.27,10.6,0.04,0.4,20.0,2.0,0.51
00:06:00,4.6840,0.0091,0.0533,0.0129,1.09,0.90,204.0,0.04,0.3,0.0,0.0,20.4,2.04,0.02
00:06:10,4.4900,0.0784,0.0543,0.0131,1.11,0.91,190.5,0.35,2.9,0.01,0.1,19.1,1.905,0.15
00:06:20,3.7980,0.2781,0.0572,0.0139,1.17,0.97,183.5,1.06,8.8,0.04,0.4,18.4,1.835,0.47
00:06:30,4.7750,0.1653,0.0594,0.0144,1.22,1.00,185.5,0.79,6.6,0.03,0.3,18.6,1.855,0.34
00:06:40,5.1940,0.0092,0.0595,0.0144,1.22,1.00,190.5,0.05,0.4,0.0,0.0,19.1,1.905,0.02
00:06:50,4.6760,0.0086,0.0597,0.0144,1.22,1.00,199.0,0.04,0.3,0.0,0.0,19.9,1.99,0.02
00:07:00,3.2090,0.2834,0.0622,0.0152,1.27,1.06,197.0,0.91,7.6,0.03,0.3,19.7,1.97,0.37
00:07:10,3.7240,0.3122,0.0654,0.0161,1.34,1.12,191.0,1.16,9.7,0.04,0.4,19.1,1.91,0.49
