Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,4.9800,2.0030,0.0277,0.0056,0.28,0.20,687.0,9.97,83.1,0.6,6.0,68.7,6.87,1.21
00:00:10,5.3440,0.0092,0.0278,0.0056,0.29,0.20,376.0,0.05,0.4,0.0,0.0,37.6,3.76,0.01
00:00:20,3.2560,0.7430,0.0346,0.0077,0.35,0.27,301.0,2.42,20.2,0.15,1.5,30.1,3.01,0.67
00:00:30,4.1190,1.9931,0.0574,0.0132,0.59,0.47,542.0,8.21,68.4,0.49,4.9,54.2,5.42,1.26
00:00:40,4.9890,1.9995,0.0851,0.0187,0.87,0.66,679.0,9.98,83.2,0.6,6.0,67.9,6.79,1.22
00:00:50,4.9880,2.0016,0.1128,0.0243,1.16,0.86,667.0,9.98,83.2,0.6,6.0,66.7,6.67,1.25
00:01:00,3.8060,1.9752,0.1337,0.0298,1.37,1.05,652.0,7.52,62.7,0.45,4.5,65.2,6.52,0.96
00:01:10,3.9010,1.9969,0.1553,0.0353,1.59,1.25,651.0,7.79,64.9,0.47,4.7,65.1,6.51,1.0
00:01:20,3.8510,1.9903,0.1766,0.0409,1.81,1.44,644.0,7.66,63.8,0.46,4.6,64.4,6.44,0.99
00:01:30,3.5530,1.8497,0.1949,0.0460,2.00,1.62,638.0,6.57,54.8,0.39,3.9,63.8,6.38,0.86
00:01:40,3.5120,1.8308,0.2127,0.0511,2.18,1.80,617.0,6.43,53.6,0.39,3.9,61.7,6.17,0.87
00:01:50,3.8520,1.9875,0.2340,0.0566,2.40,2.00,642.0,7.66,63.8,0.46,4.6,64.2,6.42,0.99
00:02:00,4.0580,1.9953,0.2565,0.0622,2.63,2.19,648.0,8.1,67.5,0.49,4.9,64.8,6.48,1.04
00:02:10,4.3100,1.9998,0.2804,0.0677,2.87,2.39,652.0,8.62,71.8,0.52,5.2,65.2,6.52,1.1
00:02:20,4.5440,1.9992,0.3057,0.0733,3.13,2.58,655.0,9.08,75.7,0.55,5.5,65.5,6.55,1.16
00:02:30,4.4850,2.0002,0.3306,0.0788,3.39,2.78,652.0,8.97,74.8,0.54,5.4,65.2,6.52,1.15
00:02:40,4.5970,2.0002,0.3561,0.0844,3.65,2.98,654.0,9.19,76.6,0.55,5.5,65.4,6.54,1.17
00:02:50,4.6250,1.9996,0.3818,0.0899,3.91,3.17,657.0,9.25,77.1,0.56,5.6,65.7,6.57,1.17
00:03:00,4.6420,2.0006,0.4076,0.0955,4.18,3.37,628.0,9.29,77.4,0.56,5.6,62.8,6.28,1.23
00:03:10,4.7180,2.0007,0.4338,0.1010,4.44,3.56,663.0,9.44,78.7,0.57,5.7,66.3,6.63,1.19
00:03:20,4.7090,1.9998,0.4600,0.1066,4.71,3.76,661.0,9.42,78.5,0.57,5.7,66.1,6.61,1.19
00:03:30,4.6910,1.9999,0.4861,0.1122,4.98,3.95,663.0,9.38,78.2,0.56,5.6,66.3,6.63,1.18
00:03:40,4.7120,1.9995,0.5122,0.1177,5.25,4.15,661.0,9.42,78.5,0.57,5.7,66.1,6.61,1.19
00:03:50,4.6680,2.0008,0.5382,0.1233,5.51,4.35,661.0,9.34,77.8,0.56,5.6,66.1,6.61,1.18
00:04:00,4.6270,1.9992,0.5639,0.1288,5.78,4.54,659.0,9.25,77.1,0.56,5.6,65.9,6.59,1.17
00:04:10,4.4450,1.9994,0.5886,0.1344,6.03,4.74,655.0,8.89,74.1,0.53,5.3,65.5,6.55,1.13
00:04:20,4.4460,1.9993,0.6132,0.1399,6.28,4.93,656.0,8.89,74.1,0.53,5.3,65.6,6.56,1.13
00:04:30,3.8270,1.9880,0.6344,0.1454,6.50,5.13,646.0,7.61,63.4,0.46,4.6,64.6,6.46,0.98
00:04:40,3.7890,1.9714,0.6551,0.1509,6.71,5.32,633.0,7.47,62.2,0.45,4.5,63.3,6.33,0.98
00:04:50,3.7970,1.9731,0.6759,0.1564,6.92,5.51,635.0,7.49,62.4,0.45,4.5,63.5,6.35,0.98
00:05:00,3.7870,1.9689,0.6967,0.1619,7.14,5.71,631.0,7.46,62.2,0.45,4.5,63.1,6.31,0.99
00:05:10,3.8490,1.9959,0.7180,0.1674,7.35,5.90,640.0,7.68,64.0,0.46,4.6,64.0,6.4,1.0
00:05:20,3.9400,1.9995,0.7399,0.1730,7.58,6.10,642.0,7.88,65.7,0.47,4.7,64.2,6.42,1.02
00:05:30,3.8030,1.9762,0.7608,0.1785,7.79,6.29,635.0,7.52,62.7,0.45,4.5,63.5,6.35,0.99
00:05:40,3.7570,1.9538,0.7811,0.1839,8.00,6.48,627.0,7.34,61.2,0.44,4.4,62.7,6.27,0.98
00:05:50,3.7600,1.9587,0.8016,0.1893,8.21,6.68,626.0,7.36,61.3,0.44,4.4,62.6,6.26,0.98
00:06:00,3.7960,1.9745,0.8224,0.1948,8.42,6.87,633.0,7.5,62.5,0.45,4.5,63.3,6.33,0.99
00:06:10,3.8100,1.9823,0.8434,0.2003,8.64,7.06,635.0,7.55,62.9,0.45,4.5,63.5,6.35,0.99
00:06:20,3.8050,1.9825,0.8644,0.2058,8.85,7.26,634.0,7.54,62.8,0.45,4.5,63.4,6.34,0.99
00:06:30,3.8080,1.9819,0.8853,0.2113,9.07,7.45,635.0,7.55,62.9,0.45,4.5,63.5,6.35,0.99
