Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance (Wh/m2),Irradiance/100
00:00:00,3.7760,1.8898,0.0198,0.0052,0.34,0.32,189.0,1.89
00:00:10,3.7940,1.8942,0.0398,0.0105,0.68,0.63,184.0,1.84
00:00:20,3.7640,1.8866,0.0595,0.0158,1.02,0.95,845,8.45
00:00:30,3.7790,1.8886,0.0793,0.0210,1.35,1.27,858,8.58
00:00:40,3.7860,1.8943,0.0993,0.0263,1.70,1.59,857,8.57
00:00:50,3.7380,1.8751,0.1187,0.0315,2.03,1.90,860,8.6
00:01:00,5.3230,0.0093,0.1189,0.0315,2.03,1.90,852,8.52
00:01:10,3.7790,1.8916,0.1387,0.0367,2.37,2.22,863,8.63
00:01:20,3.7820,1.8951,0.1586,0.0420,2.71,2.54,865,8.65
00:01:30,3.7970,1.9012,0.1787,0.0473,3.05,2.86,865,8.65
00:01:40,3.8030,1.9062,0.1988,0.0526,3.40,3.18,867,8.67
00:01:50,3.8080,1.9090,0.2190,0.0579,3.74,3.50,871,8.71
00:02:00,3.8250,1.9176,0.2394,0.0632,4.09,3.82,874,8.74
00:02:10,3.8330,1.9221,0.2599,0.0686,4.44,4.14,875,8.75
00:02:20,3.8340,1.9207,0.2803,0.0739,4.79,4.46,877,8.77
00:02:30,3.8340,1.9195,0.3007,0.0792,5.14,4.79,878,8.78
00:02:40,3.8330,1.9195,0.3212,0.0846,5.48,5.11,878,8.78
00:02:50,3.8260,1.9195,0.3416,0.0899,5.83,5.43,876,8.76
00:03:00,3.7640,1.8847,0.3613,0.0951,6.17,5.75,872,8.72
00:03:10,3.7270,1.8593,0.3805,0.1003,6.50,6.06,830,8.3
00:03:20,2.8520,1.2333,0.3903,0.1037,6.67,6.27,715,7.15
00:03:30,2.6740,0.4580,0.3937,0.1050,6.72,6.34,342,3.42
00:03:40,2.5250,0.4163,0.3966,0.1061,6.77,6.41,310,3.1
00:03:50,3.2460,0.8258,0.4041,0.1084,6.90,6.55,334,3.34
00:04:00,2.9500,0.7594,0.4103,0.1105,7.01,6.68,528,5.28
00:04:10,3.8360,1.9205,0.4308,0.1159,7.36,7.00,879,8.79
00:04:20,3.5250,1.7685,0.4481,0.1208,7.65,7.30,814,8.14
00:04:30,3.7830,1.8935,0.4680,0.1261,7.99,7.61,873,8.73
00:04:40,3.7080,1.8500,0.4870,0.1312,8.32,7.93,838,8.38
00:04:50,3.7750,1.8901,0.5069,0.1364,8.66,8.24,873,8.73
00:05:00,3.8300,1.9178,0.5273,0.1418,9.00,8.56,876,8.76
00:05:10,3.8740,1.9418,0.5482,0.1472,9.36,8.89,890,8.9
