Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W)
01:16:10,4.7950,2.3937,11.9542,2.6337,90.72,90.60,0.0,11.48
01:16:20,4.7780,2.3935,11.9860,2.6403,90.96,90.83,0.0,11.44
01:16:30,4.7610,2.3934,12.0177,2.6470,91.20,91.06,0.0,11.39
01:16:40,4.7420,2.3936,12.0493,2.6536,91.44,91.29,0.0,11.35
01:16:50,4.7360,2.3935,12.0808,2.6603,91.68,91.52,0.0,11.34
01:17:00,4.7310,2.3932,12.1123,2.6669,91.92,91.75,0.0,11.32
01:17:10,4.7320,2.3933,12.1437,2.6736,92.16,91.97,0.0,11.33
01:17:20,4.7200,2.3931,12.1752,2.6802,92.40,92.20,0.0,11.3
01:17:30,4.7120,2.3935,12.2065,2.6868,92.64,92.43,0.0,11.28
01:17:40,4.6820,2.3925,12.2377,2.6935,92.87,92.66,0.0,11.2
01:17:50,3.2270,1.5789,12.2653,2.6997,93.08,92.87,0.0,5.1
01:18:00,4.6420,2.3929,12.2962,2.7063,93.32,93.10,0.0,11.11
01:18:10,5.3290,0.0093,12.3209,2.7116,93.50,93.28,0.0,0.05
01:18:20,4.6550,2.3924,12.3395,2.7156,93.64,93.42,0.0,11.14
01:18:30,4.5920,2.3945,12.3702,2.7223,93.88,93.65,0.0,11.0
01:18:40,4.5050,2.3944,12.3941,2.7276,94.06,93.83,0.0,10.79
01:18:50,4.6440,2.3954,12.4248,2.7342,94.29,94.06,0.0,11.12
01:19:00,4.6470,2.3960,12.4557,2.7409,94.53,94.29,0.0,11.13
01:19:10,4.6430,2.3966,12.4867,2.7476,94.76,94.52,0.0,11.13
01:19:20,4.6360,2.3946,12.5175,2.7542,95.00,94.75,0.0,11.1
01:19:30,4.6400,2.3943,12.5422,2.7595,95.18,94.93,0.0,11.11
01:19:40,4.6290,2.3941,12.5730,2.7662,95.42,95.16,0.0,11.08
01:19:50,4.6250,2.3950,12.6038,2.7728,95.65,95.39,0.0,11.08
01:20:00,4.6210,2.3941,12.6345,2.7795,95.88,95.62,0.0,11.06
01:20:10,4.6220,2.3942,12.6627,2.7855,96.10,95.83,0.0,11.07
01:20:20,4.6040,2.3936,12.6934,2.7922,96.33,96.05,0.0,11.02
01:20:30,4.5860,2.3943,12.7200,2.7979,96.53,96.25,0.0,10.98
01:20:40,4.7590,2.3109,12.7505,2.8045,96.76,96.48,0.0,11.0
01:20:50,4.5840,2.3940,12.7810,2.8112,97.00,96.71,0.0,10.97
01:21:00,4.5890,2.3934,12.8054,2.8165,97.18,96.89,0.0,10.98
01:21:10,4.6220,2.3920,12.8299,2.8218,97.37,97.07,0.0,11.06
01:21:20,4.6020,2.3937,12.8605,2.8285,97.60,97.30,0.0,11.02
01:21:30,4.6170,2.3939,12.8891,2.8348,97.82,97.52,0.0,11.05
01:21:40,4.7030,2.3798,12.9139,2.8402,98.00,97.71,0.0,11.19
01:21:50,4.6640,2.3930,12.9326,2.8442,98.15,97.84,0.0,11.16
01:22:00,4.6530,2.3938,12.9635,2.8508,98.38,98.07,0.0,11.14
01:22:10,4.6500,2.3933,12.9945,2.8575,98.62,98.30,0.0,11.13
01:22:20,0.2240,0.0000,13.0131,2.8615,98.76,98.44,0.0,0.0
01:22:30,4.6370,2.3935,13.0379,2.8668,98.94,98.62,0.0,11.1
01:22:40,4.6110,2.3935,13.0686,2.8734,99.18,98.85,0.0,11.04
01:22:50,4.6200,2.3930,13.0947,2.8793,99.38,99.05,0.0,11.06
01:23:00,4.6350,2.3840,13.1196,2.8848,99.56,99.24,0.0,11.05
01:23:10,2.5790,0.7046,13.1338,2.8887,99.67,99.37,0.0,1.82
01:23:20,2.3320,0.4775,13.1371,2.8901,99.70,99.42,0.0,1.11
01:23:30,2.3340,0.4808,13.1402,2.8914,99.72,99.47,0.0,1.12
01:23:40,2.3360,0.4751,13.1433,2.8927,99.74,99.51,0.0,1.11
01:23:50,2.3370,0.4657,13.1463,2.8940,99.77,99.56,0.0,1.09
01:24:00,2.3360,0.4677,13.1494,2.8954,99.79,99.60,0.0,1.09
01:24:10,2.3370,0.4742,13.1524,2.8967,99.81,99.65,0.0,1.11
01:24:20,2.3440,0.4755,13.1555,2.8980,99.84,99.69,0.0,1.11
01:24:30,2.3510,0.4739,13.1585,2.8992,99.86,99.74,0.0,1.11
01:24:40,2.3720,0.4974,13.1617,2.9006,99.88,99.78,0.0,1.18
01:24:50,2.3890,0.5099,13.1650,2.9020,99.91,99.83,0.0,1.22
01:25:00,2.4070,0.5233,13.1685,2.9034,99.94,99.88,0.0,1.26
01:25:10,2.4220,0.5297,13.1720,2.9049,99.96,99.93,0.0,1.28
01:25:20,2.5520,0.6334,13.1759,2.9065,99.99,99.99,0.0,1.62
