Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:00:00,1.0810,0.0006,0.0000,0.0000,0.00,0.00,795
0day00:00:10,4.9290,1.9938,0.0273,0.0055,0.26,0.26,798
0day00:00:20,4.9260,1.9937,0.0546,0.0111,0.53,0.52,799
0day00:00:30,4.9310,1.9932,0.0819,0.0166,0.79,0.79,798
0day00:00:40,4.9310,1.9928,0.1092,0.0222,1.05,1.05,795
0day00:00:50,4.9310,1.9922,0.1365,0.0277,1.31,1.31,794
0day00:01:00,4.9310,1.9915,0.1637,0.0332,1.58,1.57,797
0day00:01:10,4.9300,1.9914,0.1910,0.0387,1.84,1.84,793
0day00:01:20,4.9310,1.9906,0.2183,0.0443,2.10,2.10,792
0day00:01:30,4.9330,1.9909,0.2456,0.0498,2.36,2.36,790
0day00:01:40,4.9310,2.0016,0.2730,0.0554,2.63,2.62,794
0day00:01:50,4.9300,2.0013,0.3004,0.0609,2.89,2.89,793
0day00:02:00,4.9300,2.0011,0.3278,0.0665,3.15,3.15,791
0day00:02:10,4.9300,2.0016,0.3552,0.0720,3.42,3.41,790
0day00:02:20,4.9290,2.0007,0.3826,0.0776,3.68,3.68,791
0day00:02:30,4.9300,2.0009,0.4100,0.0832,3.94,3.94,790
0day00:02:40,4.9290,1.9987,0.4374,0.0887,4.21,4.20,786
0day00:02:50,4.9300,1.9983,0.4647,0.0943,4.47,4.46,788
0day00:03:00,4.9310,1.9998,0.4921,0.0998,4.73,4.73,789
0day00:03:10,4.9270,2.0001,0.5195,0.1054,5.00,4.99,792
0day00:03:20,4.9290,2.0018,0.5469,0.1109,5.26,5.25,793
0day00:03:30,4.9300,2.0013,0.5743,0.1165,5.52,5.52,791
0day00:03:40,4.9310,1.9995,0.6017,0.1220,5.79,5.78,789
0day00:03:50,4.9310,2.0008,0.6291,0.1276,6.05,6.04,787
0day00:04:00,4.9320,2.0010,0.6565,0.1332,6.31,6.31,793
0day00:04:10,4.9320,2.0001,0.6839,0.1387,6.58,6.57,792
0day00:04:20,4.9320,1.9997,0.7113,0.1443,6.84,6.83,790
0day00:04:30,4.9320,2.0002,0.7387,0.1498,7.11,7.10,793
0day00:04:40,4.9310,1.9997,0.7661,0.1554,7.37,7.36,798
0day00:04:50,4.9300,2.0010,0.7935,0.1609,7.63,7.62,796
0day00:05:00,4.9300,2.0009,0.8209,0.1665,7.90,7.89,794
0day00:05:10,4.9300,1.9992,0.8483,0.1721,8.16,8.15,796
0day00:05:20,4.9300,1.9997,0.8757,0.1776,8.42,8.41,794
0day00:05:30,4.9310,1.9997,0.9031,0.1832,8.69,8.67,794
0day00:05:40,4.9310,1.9999,0.9305,0.1887,8.95,8.94,793
0day00:05:50,4.9300,2.0011,0.9579,0.1943,9.21,9.20,793
0day00:06:00,4.9300,2.0008,0.9853,0.1998,9.48,9.46,794
0day00:06:10,4.9300,2.0014,1.0127,0.2054,9.74,9.73,793
0day00:06:20,4.9300,2.0005,1.0401,0.2110,10.00,9.99,794
0day00:06:30,4.9300,2.0003,1.0675,0.2165,10.27,10.25,795
0day00:06:40,4.9290,2.0011,1.0949,0.2221,10.53,10.52,794
0day00:06:50,4.9300,2.0016,1.1223,0.2276,10.79,10.78,792
0day00:07:00,4.9300,2.0010,1.1497,0.2332,11.06,11.04,791
0day00:07:10,4.9310,1.9994,1.1770,0.2387,11.32,11.31,790
0day00:07:20,4.9310,2.0002,1.2044,0.2443,11.59,11.57,789
0day00:07:30,4.9320,2.0003,1.2319,0.2499,11.85,11.83,788
0day00:07:40,4.9310,2.0000,1.2592,0.2554,12.11,12.10,786
0day00:07:50,4.9300,1.9998,1.2866,0.2610,12.38,12.36,787
0day00:08:00,4.9290,2.0000,1.3140,0.2665,12.64,12.62,788
0day00:08:10,4.9280,2.0001,1.3414,0.2721,12.90,12.89,790
0day00:08:20,4.9290,2.0009,1.3688,0.2776,13.17,13.15,790
0day00:08:30,4.9290,1.9999,1.3962,0.2832,13.43,13.41,789
0day00:08:40,4.9290,2.0012,1.4236,0.2887,13.69,13.68,788
0day00:08:50,4.9290,2.0007,1.4510,0.2943,13.96,13.94,785
0day00:09:00,4.9290,2.0010,1.4784,0.2999,14.22,14.20,787
0day00:09:10,4.9290,2.0009,1.5058,0.3054,14.48,14.46,788
0day00:09:20,4.9270,2.0007,1.5331,0.3110,14.75,14.73,792
0day00:09:30,4.9270,2.0002,1.5605,0.3165,15.01,14.99,797
