Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:13:30,2.7330,1.2649,1.7372,0.3945,15.53,16.63,255
0day00:13:40,3.7070,1.9146,1.7569,0.3998,15.70,16.85,298
0day00:13:50,3.1540,1.6912,1.7717,0.4045,15.83,17.05,380
0day00:14:00,4.7550,1.9902,1.7980,0.4101,16.07,17.28,563
0day00:14:10,2.6830,1.0875,1.8061,0.4131,16.14,17.41,220
0day00:14:20,2.6620,0.9946,1.8135,0.4158,16.21,17.53,191.5
0day00:14:30,2.6480,0.9472,1.8204,0.4185,16.27,17.64,172.3
0day00:14:40,2.6380,0.9275,1.8272,0.4210,16.33,17.75,167.0
0day00:14:50,2.6390,0.9510,1.8342,0.4237,16.39,17.86,165.9
0day00:15:00,2.7710,1.4481,1.8453,0.4277,16.49,18.03,178.1
0day00:15:10,4.9050,1.9895,1.8725,0.4332,16.73,18.26,479
0day00:15:20,4.9040,1.9895,1.8996,0.4388,16.98,18.49,600
0day00:15:30,4.9030,1.9896,1.9267,0.4443,17.22,18.73,778
0day00:15:40,4.8980,1.9902,1.9537,0.4498,17.46,18.96,823
0day00:15:50,4.9000,1.9907,1.9808,0.4553,17.70,19.19,715
0day00:16:00,4.8990,1.9903,2.0079,0.4609,17.95,19.43,822
0day00:16:10,4.9000,1.9902,2.0350,0.4664,18.19,19.66,817
0day00:16:20,4.8980,1.9901,2.0621,0.4719,18.43,19.89,837
0day00:16:30,4.8970,1.9904,2.0892,0.4775,18.67,20.13,829
0day00:16:40,4.8960,1.9899,2.1162,0.4830,18.91,20.36,821
0day00:16:50,4.8960,1.9899,2.1433,0.4885,19.16,20.59,821
0day00:17:00,4.8960,1.9904,2.1703,0.4940,19.40,20.83,815
0day00:17:10,4.8960,1.9904,2.1974,0.4996,19.64,21.06,810
0day00:17:20,4.8950,1.9902,2.2245,0.5051,19.88,21.29,803
0day00:17:30,4.8940,1.9906,2.2515,0.5106,20.12,21.52,797
0day00:17:40,4.8940,1.9903,2.2786,0.5162,20.36,21.76,792
0day00:17:50,4.8920,1.9900,2.3056,0.5217,20.61,21.99,786
0day00:18:00,4.8910,1.9902,2.3327,0.5272,20.85,22.22,782
0day00:18:10,4.8900,1.9903,2.3597,0.5327,21.09,22.46,777
0day00:18:20,4.8900,1.9907,2.3868,0.5383,21.33,22.69,772
0day00:18:30,4.8900,1.9904,2.4138,0.5438,21.57,22.92,768
0day00:18:40,4.8900,1.9904,2.4408,0.5493,21.81,23.16,766
0day00:18:50,4.8900,1.9901,2.4679,0.5549,22.06,23.39,762
0day00:19:00,4.8900,1.9904,2.4949,0.5604,22.30,23.62,760
0day00:19:10,4.8900,1.9903,2.5219,0.5659,22.54,23.85,760
0day00:19:20,4.8900,1.9904,2.5490,0.5714,22.78,24.09,760
0day00:19:30,4.8900,1.9906,2.5760,0.5770,23.02,24.32,760
0day00:19:40,4.8910,1.9904,2.6030,0.5825,23.26,24.55,761
0day00:19:50,4.8920,1.9905,2.6301,0.5880,23.51,24.79,761
0day00:20:00,4.8930,1.9910,2.6572,0.5936,23.75,25.02,757
0day00:20:10,4.8930,1.9905,2.6842,0.5991,23.99,25.25,761
0day00:20:20,4.8930,1.9907,2.7113,0.6046,24.23,25.49,762
0day00:20:30,4.8930,1.9907,2.7383,0.6102,24.47,25.72,761
0day00:20:40,4.8920,1.9908,2.7654,0.6157,24.72,25.95,761
0day00:20:50,4.8920,1.9911,2.7924,0.6212,24.96,26.19,760
0day00:21:00,4.8920,1.9903,2.8195,0.6267,25.20,26.42,766
0day00:21:10,4.8930,1.9909,2.8465,0.6323,25.44,26.65,778
0day00:21:20,2.7220,1.1828,2.8555,0.6356,25.52,26.79,758
0day00:21:30,2.6400,0.8003,2.8613,0.6378,25.57,26.88,146.9
0day00:21:40,2.6060,0.6855,2.8663,0.6397,25.62,26.96,133.7
0day00:21:50,2.5890,0.6166,2.8707,0.6414,25.66,27.04,112.5
0day00:22:00,2.5920,0.6221,2.8752,0.6431,25.70,27.11,109.0
0day00:22:10,2.6000,0.6531,2.8799,0.6449,25.74,27.19,111.0
0day00:22:20,2.6430,0.8029,2.8858,0.6472,25.79,27.28,119.3
0day00:22:30,2.7030,1.0710,2.8939,0.6501,25.86,27.41,189.2
0day00:22:40,2.6820,0.9744,2.9011,0.6529,25.93,27.52,159.4
0day00:22:50,4.8990,1.9903,2.9282,0.6584,26.17,27.75,371
0day00:23:00,4.9030,1.9905,2.9553,0.6639,26.41,27.99,796
0day00:23:10,4.9020,1.9904,2.9824,0.6694,26.66,28.22,801
0day00:23:20,4.9000,1.9914,3.0095,0.6750,26.90,28.45,795
0day00:23:30,4.8990,1.9904,3.0366,0.6805,27.14,28.68,791
