Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:59:10,4.8770,1.9904,8.6040,1.8341,76.90,77.31,822
0day00:59:20,4.8770,1.9900,8.6309,1.8396,77.14,77.54,825
0day00:59:30,4.8770,1.9897,8.6579,1.8451,77.38,77.78,824
0day00:59:40,4.8760,1.9899,8.6848,1.8507,77.62,78.01,824
0day00:59:50,4.8760,1.9897,8.7118,1.8562,77.86,78.24,823
0day01:00:00,4.8760,1.9904,8.7387,1.8617,78.10,78.48,823
0day01:00:10,4.8760,1.9896,8.7657,1.8672,78.34,78.71,817
0day01:00:20,4.8760,1.9896,8.7926,1.8728,78.58,78.94,818
0day01:00:30,4.8750,1.9900,8.8196,1.8783,78.82,79.17,818
0day01:00:40,4.8750,1.9897,8.8465,1.8838,79.07,79.41,815
0day01:00:50,4.8740,1.9892,8.8735,1.8893,79.31,79.64,815
0day01:01:00,4.8740,1.9891,8.9004,1.8949,79.55,79.87,816
0day01:01:10,4.8750,1.9897,8.9273,1.9004,79.79,80.11,817
0day01:01:20,4.8740,1.9907,8.9543,1.9059,80.03,80.34,817
0day01:01:30,4.8750,1.9898,8.9812,1.9115,80.27,80.57,821
0day01:01:40,4.8750,1.9899,9.0082,1.9170,80.51,80.81,826
0day01:01:50,4.8750,1.9893,9.0351,1.9225,80.75,81.04,838
0day01:02:00,3.4180,1.8336,9.0525,1.9276,80.91,81.25,495
0day01:02:10,2.6180,0.8836,9.0589,1.9301,80.96,81.36,160.6
0day01:02:20,3.3770,1.7975,9.0758,1.9350,81.11,81.57,211
0day01:02:30,2.5990,0.8298,9.0818,1.9374,81.17,81.66,140.2
0day01:02:40,2.7290,1.4017,9.0924,1.9412,81.26,81.83,147.8
0day01:02:50,4.8840,1.9894,9.1194,1.9468,81.50,82.06,659
0day01:03:00,4.8820,1.9896,9.1464,1.9523,81.75,82.29,853
0day01:03:10,4.8810,1.9900,9.1734,1.9578,81.99,82.53,845
0day01:03:20,4.8800,1.9901,9.2004,1.9634,82.23,82.76,838
0day01:03:30,4.8800,1.9901,9.2273,1.9689,82.47,82.99,501
0day01:03:40,4.8800,1.9901,9.2543,1.9744,82.71,83.23,840
0day01:03:50,4.8800,1.9900,9.2813,1.9799,82.95,83.46,841
0day01:04:00,4.8790,1.9903,9.3083,1.9855,83.19,83.69,835
0day01:04:10,4.8790,1.9901,9.3352,1.9910,83.43,83.93,834
0day01:04:20,4.8790,1.9900,9.3622,1.9965,83.67,84.16,834
0day01:04:30,4.8790,1.9902,9.3892,2.0021,83.91,84.39,831
0day01:04:40,4.8780,1.9904,9.4161,2.0076,84.16,84.62,830
0day01:04:50,4.8780,1.9904,9.4431,2.0131,84.40,84.86,826
0day01:05:00,4.8790,1.9901,9.4701,2.0186,84.64,85.09,826
0day01:05:10,4.8780,1.9900,9.4970,2.0242,84.88,85.32,825
0day01:05:20,4.8780,1.9901,9.5240,2.0297,85.12,85.56,827
0day01:05:30,4.8780,1.9898,9.5510,2.0352,85.36,85.79,826
0day01:05:40,4.8790,1.9900,9.5779,2.0407,85.60,86.02,830
0day01:05:50,4.8790,1.9900,9.6049,2.0463,85.84,86.26,829
0day01:06:00,4.8790,1.9902,9.6319,2.0518,86.08,86.49,823
0day01:06:10,4.8790,1.9904,9.6589,2.0573,86.33,86.72,822
0day01:06:20,4.8790,1.9912,9.6858,2.0629,86.57,86.95,824
0day01:06:30,4.8770,1.9902,9.7128,2.0684,86.81,87.19,806
0day01:06:40,4.8790,1.9902,9.7398,2.0739,87.05,87.42,819
0day01:06:50,4.8790,1.9902,9.7668,2.0794,87.29,87.65,820
0day01:07:00,4.8790,1.9902,9.7937,2.0850,87.53,87.89,818
0day01:07:10,4.8780,1.9902,9.8207,2.0905,87.77,88.12,821
0day01:07:20,4.8770,1.9904,9.8477,2.0960,88.01,88.35,819
0day01:07:30,4.8780,1.9901,9.8746,2.1016,88.25,88.59,822
0day01:07:40,4.8790,1.9902,9.9016,2.1071,88.49,88.82,824
0day01:07:50,4.8790,1.9899,9.9286,2.1126,88.74,89.05,825
0day01:08:00,4.8790,1.9903,9.9555,2.1181,88.98,89.29,833
0day01:08:10,3.7190,1.9606,9.9758,2.1236,89.16,89.51,837
0day01:08:20,4.8790,1.9902,10.0028,2.1291,89.40,89.75,588
0day01:08:30,4.8790,1.9901,10.0297,2.1347,89.64,89.98,815
0day01:08:40,4.8790,1.9903,10.0567,2.1402,89.88,90.21,817
0day01:08:50,4.8790,1.9901,10.0837,2.1457,90.12,90.45,817
0day01:09:00,4.8790,1.9899,10.1107,2.1512,90.36,90.68,815
0day01:09:10,4.8780,1.9900,10.1376,2.1568,90.60,90.91,818
0day01:09:20,4.8770,1.9899,10.1646,2.1623,90.85,91.15,820
0day01:09:30,4.8760,1.9900,10.1915,2.1678,91.09,91.38,814
0day01:09:40,4.8760,1.9901,10.2185,2.1733,91.33,91.61,815
0day01:09:50,4.8760,1.9891,10.2454,2.1789,91.57,91.84,817
0day01:10:00,4.8770,1.9901,10.2724,2.1844,91.81,92.08,815
0day01:10:10,4.8770,1.9900,10.2993,2.1899,92.05,92.31,818
0day01:10:20,4.8770,1.9899,10.3263,2.1955,92.29,92.54,825
0day01:10:30,4.8770,1.9898,10.3533,2.2010,92.53,92.78,826
0day01:10:40,4.8780,1.9894,10.3802,2.2065,92.77,93.01,828
0day01:10:50,4.8780,1.9903,10.4072,2.2120,93.01,93.24,835
0day01:11:00,4.8790,1.9902,10.4342,2.2176,93.25,93.48,834
0day01:11:10,4.8790,1.9899,10.4611,2.2231,93.50,93.71,834
0day01:11:20,4.8790,1.9899,10.4881,2.2286,93.74,93.94,833
0day01:11:30,4.8790,1.9904,10.5151,2.2341,93.98,94.17,830
0day01:11:40,4.8790,1.9906,10.5420,2.2397,94.22,94.41,817
0day01:11:50,4.8780,1.9906,10.5690,2.2452,94.46,94.64,814
0day01:12:00,4.8770,1.9902,10.5960,2.2507,94.70,94.87,826
0day01:12:10,4.8780,1.9900,10.6229,2.2563,94.94,95.11,823
0day01:12:20,4.8780,1.9903,10.6499,2.2618,95.18,95.34,813
0day01:12:30,4.8790,1.9902,10.6769,2.2673,95.42,95.57,816
0day01:12:40,4.8780,1.9901,10.7039,2.2728,95.66,95.81,813
0day01:12:50,4.8790,1.9901,10.7308,2.2784,95.91,96.04,815
0day01:13:00,4.8780,1.9901,10.7578,2.2839,96.15,96.27,816
0day01:13:10,4.8780,1.9900,10.7848,2.2894,96.39,96.51,814
0day01:13:20,4.8770,1.9903,10.8117,2.2950,96.63,96.74,816
0day01:13:30,4.8770,1.9900,10.8387,2.3005,96.87,96.97,815
0day01:13:40,4.8760,1.9899,10.8656,2.3060,97.11,97.20,816
0day01:13:50,4.8750,1.9899,10.8926,2.3115,97.35,97.44,817
0day01:14:00,4.8750,1.9899,10.9195,2.3171,97.59,97.67,815
0day01:14:10,4.8750,1.9897,10.9465,2.3226,97.83,97.90,820
0day01:14:20,4.8740,1.9898,10.9734,2.3281,98.07,98.14,820
0day01:14:30,4.8740,1.9898,11.0003,2.3337,98.31,98.37,819
0day01:14:40,4.8730,1.9898,11.0273,2.3392,98.56,98.60,820
0day01:14:50,4.8740,1.9897,11.0542,2.3447,98.80,98.84,816
0day01:15:00,4.8740,1.9898,11.0812,2.3502,99.04,99.07,817
0day01:15:10,4.8740,1.9901,11.1081,2.3558,99.28,99.30,822
0day01:15:20,4.8750,1.9895,11.1350,2.3613,99.52,99.53,817
0day01:15:30,4.8750,1.9893,11.1620,2.3668,99.76,99.77,817
0day01:15:40,4.8750,1.9890,11.1889,2.3723,100.00,100.00,814
0day01:15:50,4.9010,1.9892,11.2160,2.3779,100.24,100.23,821
